iter	Accuracy	MultiClass
310	0.996399177	0.09707780549
311	0.996399177	0.09687381096
312	0.996399177	0.09672411617
313	0.996399177	0.09650768961
314	0.996399177	0.09634299874
315	0.996399177	0.09602646137
316	0.996399177	0.09570581619
317	0.996399177	0.09542732887
318	0.996399177	0.09511280749
319	0.996399177	0.09484601137
320	0.996399177	0.09443348725
321	0.996399177	0.09415872706
322	0.996399177	0.09389262986
323	0.996399177	0.0936298273
324	0.996399177	0.09332893307
325	0.996399177	0.09305071349
326	0.996399177	0.09295245738
327	0.996399177	0.09262779196
328	0.996399177	0.09231647729
329	0.996399177	0.09190851406
330	0.996399177	0.091888381
331	0.996399177	0.09149819952
332	0.996399177	0.09094413392
333	0.996399177	0.09087798071
334	0.996399177	0.09041636188
335	0.996399177	0.09014843194
336	0.996399177	0.08949364963
337	0.996399177	0.08928337879
338	0.996399177	0.08922172255
339	0.9969135802	0.08890819493
340	0.9969135802	0.08868894742
341	0.9969135802	0.08838271005
342	0.9969135802	0.08826775166
343	0.9969135802	0.087917593
344	0.9969135802	0.08765633724
345	0.9969135802	0.08750823961
346	0.9969135802	0.08728861471
347	0.9969135802	0.08721109892
348	0.9969135802	0.08668143487
349	0.9969135802	0.08626467357
350	0.9969135802	0.08592000078
351	0.996399177	0.08563830756
352	0.9969135802	0.08541610925
353	0.9969135802	0.08497051632
354	0.9969135802	0.08478352998
355	0.9969135802	0.08454873586
356	0.9969135802	0.08430888973
357	0.9969135802	0.08405826455
358	0.996399177	0.083759715
359	0.996399177	0.08360779427
360	0.9969135802	0.08340841061
361	0.996399177	0.08320923222
362	0.996399177	0.08299718074
363	0.996399177	0.0826081643
364	0.9969135802	0.08249808278
365	0.9969135802	0.08206748194
366	0.9969135802	0.08167556516
367	0.9969135802	0.08155881271
368	0.9969135802	0.08130288199
369	0.9969135802	0.08113497365
370	0.9969135802	0.08098140628
371	0.9969135802	0.08077603821
372	0.996399177	0.08042299189
373	0.996399177	0.08018020576
374	0.996399177	0.07997140091
375	0.996399177	0.07964026813
376	0.996399177	0.07912211179
377	0.996399177	0.07900696647
378	0.996399177	0.07884645038
379	0.9969135802	0.07865605547
380	0.9969135802	0.07844058152
381	0.9969135802	0.07832062474
382	0.9969135802	0.07807745552
383	0.9969135802	0.077934848
384	0.9969135802	0.0777861244
385	0.9969135802	0.07757693286
386	0.9969135802	0.07717896673
387	0.9969135802	0.07695387513
388	0.9969135802	0.07661045392
389	0.9969135802	0.07631479818
390	0.9969135802	0.07611421998
391	0.9969135802	0.07584387846
392	0.9969135802	0.07557416122
393	0.9969135802	0.07531472973
394	0.9969135802	0.07512647402
395	0.9969135802	0.07503911464
396	0.9969135802	0.07487573094
397	0.9969135802	0.07477636222
398	0.9969135802	0.0746606369
399	0.9969135802	0.07455504453
